0_x,0_y,1_x,1_y,2_x,2_y
35.823822,7.472045,36.078584,7.726796,35.823822,6.707793
32.257146,7.217295,34.295246,7.217295,32.766671,7.217295
31.747621,6.707793,32.766671,6.962544,31.492858,5.943541
28.690470,6.453042,30.728570,6.962544,29.454757,6.962544
27.161894,5.179289,28.435707,5.434039,27.926182,5.179289
25.378556,5.943541,26.397607,6.198292,25.888082,5.688790
23.340456,3.905535,23.595218,4.415036,23.849981,5.179289
21.557118,5.179289,23.340456,5.179289,22.321406,4.160285
19.519017,3.905535,20.028543,3.396033,19.009492,3.650784
17.990442,3.396033,19.264255,3.905535,18.499967,3.905535
14.933291,3.396033,16.716629,3.141282,15.188054,3.396033
14.423766,2.886532,14.933291,3.141282,14.423766,2.122279
10.857090,3.141282,13.149953,2.631781,12.130903,3.141282
10.347565,2.377030,10.857090,2.631781,9.073752,1.867529
8.054702,6.198292,8.564227,3.650784,8.054702,2.886532
5.761839,4.924538,6.780889,1.612778,4.997551,1.867529
3.723738,6.707793,5.507076,2.886532,4.742789,2.886532
1.685638,5.434039,2.195163,1.612778,1.685638,1.867529
-0.097700,4.415036,1.685638,3.141282,0.921350,2.886532
-2.900088,4.415036,-1.626275,2.886532,-1.626275,2.631781
-3.409613,5.688790,-1.881038,3.141282,-3.154851,2.886532
-5.957239,5.943541,-5.192951,3.396033,-5.702476,3.141282
-7.485814,6.198292,-6.976289,3.650784,-7.485814,2.886532
-10.033440,4.924538,-8.759627,3.650784,-9.778678,4.669787
-12.071541,6.453042,-10.542965,3.905535,-11.307253,3.905535
-13.854879,7.472045,-12.581066,5.434039,-13.345353,4.669787
-15.638217,5.688790,-15.128691,4.924538,-15.128691,5.688790
-17.421554,7.217295,-15.383454,6.198292,-16.402504,5.943541
-20.478705,6.962544,-19.204892,5.688790,-19.714418,5.943541
-20.988230,6.453042,-19.714418,6.453042,-20.478705,6.707793
-23.535856,6.962544,-22.262043,6.962544,-23.790619,7.726796
-24.554906,6.962544,-24.300144,7.217295,-24.554906,6.707793
-28.121582,7.217295,-26.083482,7.726796,-27.102532,8.491048
-29.140632,7.472045,-28.121582,7.981547,-28.631107,7.217295
-30.923970,9.000550,-30.159683,8.491048,-30.669208,9.000550
-32.962071,7.981547,-31.688258,7.726796,-32.707308,8.236298
-35.000171,9.764802,-32.707308,9.255301,-34.490646,9.000550
-37.293035,9.510051,-36.783509,8.491048,-37.038272,9.000550
-37.802560,9.255301,-37.038272,10.019553,-37.802560,9.255301
-40.859710,9.000550,-40.095423,9.255301,-41.369236,9.255301
-42.133523,9.255301,-40.859710,9.510051,-41.623998,9.000550
-45.190674,10.019553,-43.916861,9.255301,-44.935911,10.019553
-46.719249,8.491048,-44.935911,9.000550,-46.209724,8.745799
-48.502587,9.764802,-46.974012,9.510051,-47.993062,9.764802
-50.540688,8.491048,-49.012112,8.491048,-50.285925,8.236298
-52.069263,9.510051,-51.050213,9.510051,-51.050213,9.255301
-54.107364,8.491048,-53.088314,7.981547,-54.871651,7.726796
-55.126414,8.236298,-54.871651,8.236298,-55.381177,9.000550
-58.693090,7.981547,-57.419277,7.981547,-58.438327,7.217295
-59.202615,6.707793,-58.183565,7.981547,-58.693090,6.962544
-62.514528,7.981547,-61.495478,7.472045,-61.495478,6.962544
-63.788341,5.943541,-61.750241,6.962544,-62.514528,6.962544
-65.826442,6.453042,-65.062154,7.217295,-65.062154,6.962544
-67.355017,5.434039,-66.590729,5.688790,-66.845492,5.179289
-68.374067,6.198292,-68.374067,5.943541,-69.138355,5.943541
-71.940743,4.160285,-70.157405,4.160285,-72.195506,3.905535
-72.705031,5.688790,-71.940743,5.434039,-72.195506,4.924538
-76.271707,3.650784,-74.233606,3.905535,-75.507419,2.886532
-76.526469,3.905535,-75.507419,3.650784,-75.762182,4.415036
-79.583620,3.141282,-78.309807,3.396033,-79.328858,3.650784
-80.347908,3.650784,-79.074095,3.141282,-79.838383,2.886532
-82.895534,3.650784,-82.386008,2.886532,-82.386008,2.631781
-84.424109,1.867529,-83.405059,1.867529,-84.424109,2.886532
-86.462209,3.141282,-85.443159,2.377030,-86.462209,2.122279
-88.245547,2.377030,-87.226497,1.612778,-89.264598,1.358027
-90.793173,2.886532,-89.009835,2.886532,-89.519360,2.631781
-92.831274,3.141282,-91.812223,1.612778,-92.576511,1.612778
-93.595561,3.141282,-92.066986,3.141282,-93.340799,3.396033
-96.907475,3.141282,-95.633662,2.122279,-96.143187,1.867529
-97.417000,4.924538,-96.143187,2.631781,-97.162237,3.141282
-100.728913,6.198292,-98.945575,2.886532,-99.709863,3.650784
-101.747963,5.179289,-100.728913,3.650784,-102.002726,3.650784
-104.040826,6.962544,-102.767014,3.650784,-103.786064,4.415036
-105.569402,4.924538,-104.550352,3.650784,-105.314639,3.396033
-107.862265,5.688790,-106.588452,5.179289,-107.352740,5.179289
-109.390840,5.434039,-108.626553,4.415036,-109.136078,4.669787
-110.919416,5.943541,-109.390840,5.943541,-111.174178,5.434039
-113.976566,6.198292,-112.702754,5.943541,-113.467041,6.198292
-114.995617,6.707793,-113.212279,6.453042,-114.231329,6.198292
-117.798005,6.453042,-116.778955,6.707793,-117.798005,6.962544
-118.307530,6.198292,-117.033717,6.453042,-118.562293,7.726796
-121.109918,8.236298,-120.345631,7.981547,-120.855156,7.472045
-122.893256,7.472045,-121.874206,7.217295,-122.128969,7.981547
