0_x,0_y,1_x,1_y
-28.549719,-5.265493,-27.785435,-5.010742
-30.842570,-4.246490,-29.059241,-4.246490
-31.352093,-5.520243,-29.823525,-5.774994
-32.116377,-4.501240,-30.842570,-5.774994
-32.625900,-6.539246,-31.606854,-6.029745
-34.663990,-6.029745,-32.880661,-6.284496
-35.173513,-7.813000,-34.918751,-6.793997
-36.447319,-8.322502,-34.663990,-7.303499
-37.975887,-8.832003,-36.956842,-7.303499
-37.721126,-10.360508,-36.702080,-9.851006
-40.268739,-10.615259,-38.740171,-8.832003
-40.778261,-12.398514,-39.249694,-11.124760
-42.052068,-12.398514,-40.523500,-10.870009
-42.561591,-13.417517,-42.052068,-13.162766
-43.835397,-14.436520,-42.816352,-13.417517
-44.854442,-14.946021,-44.344920,-14.181769
-45.109204,-16.219775,-43.835397,-14.436520
-47.402055,-16.474526,-46.892533,-15.455523
-47.402055,-17.238778,-46.128249,-17.238778
-49.440146,-18.767283,-48.166339,-16.729277
-49.440146,-19.022034,-48.675862,-18.767283
-51.732998,-19.531535,-51.223475,-18.257781
-52.497282,-21.824292,-50.968714,-20.550538
-53.516327,-21.824292,-51.732998,-20.550538
-54.280611,-23.862298,-53.006804,-22.843295
-55.299656,-24.626550,-54.025849,-23.098046
-56.573462,-25.136052,-55.044895,-23.862298
-57.592508,-27.174058,-56.318701,-25.645553
-59.121076,-27.938310,-58.102030,-26.409806
-58.611553,-29.721565,-57.592508,-27.683559
-61.159166,-30.740569,-59.885359,-29.466815
-61.668689,-33.033325,-59.885359,-30.485818
-63.452018,-33.033325,-61.923450,-31.759572
-63.197256,-36.090334,-61.923450,-33.542827
-64.725824,-36.090334,-63.961540,-34.307079
-65.744870,-38.637842,-64.471063,-37.109338
-66.763915,-39.911596,-65.744870,-37.364088
-67.528199,-41.185350,-67.273437,-39.911596
-69.056767,-42.713854,-66.763915,-40.930599
-70.075812,-44.497110,-68.547244,-42.204353
-70.075812,-46.025614,-69.056767,-44.242359
-72.368664,-46.535116,-71.349618,-45.006611
-72.368664,-48.573122,-71.859141,-47.299368
-74.916277,-49.337374,-72.623425,-47.554119
-74.406754,-52.139632,-73.897231,-50.356377
-77.209128,-52.139632,-74.661515,-50.865879
-76.444844,-54.941891,-75.935322,-52.649134
-79.247219,-55.196641,-77.209128,-53.922888
-78.992458,-57.744149,-78.482935,-55.451392
-79.756741,-57.489398,-78.737696,-57.234648
-81.285309,-61.055909,-80.521025,-58.763152
-81.540071,-60.546407,-80.266264,-59.782155
-84.087684,-62.839164,-83.068638,-61.310660
-84.597206,-64.367669,-82.304355,-62.584413
-86.380535,-65.896173,-84.851968,-63.858167
-85.871013,-67.169927,-84.597206,-66.150924
-88.163865,-68.443681,-86.635297,-66.660426
-89.182910,-71.500690,-87.399581,-69.207933
-89.947194,-71.755441,-88.673387,-70.226936
-90.456716,-74.557699,-89.437671,-72.264942
-91.730523,-74.812450,-90.711478,-73.538696
-92.749568,-77.359957,-92.494807,-75.321951
-93.768613,-78.378961,-91.475762,-76.595705
-95.297181,-79.652714,-94.278136,-78.633711
-95.297181,-81.181219,-94.023375,-79.652714
-97.844794,-82.454973,-96.570988,-81.181219
